generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1619999400§1.8248979§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([0, 8, 7, 5, 6]))§676§0.057092525
3§619999800§1.8215339§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 6, 8]))§1011§0.06757637
4§579999800§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6, 5, 0]))§1178§0.072472766
6§939999550§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([6, 0, 7, 5]))§1517§0.08168147
507§1379999600§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([5, 7, 0, 6]))§105510§2.848596
