generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1559999400§1.787618§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 7, 1, 5]))§672§0.059619248
5§799999700§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 7, 6, 0]))§1348§0.08499743
14§1059999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 0, 5, 7]))§2871§0.16233705
515§1339999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([0, 5, 7, 6]))§107558§4.1034775
