generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.5683773§3.092935§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 6, 3]))§675§0.49633652
3§3.2940843§3.0908113§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 15]))§1007§0.52076745
8§3.15494§3.086076§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3]))§1854§0.57875544
9§3.1462433§3.0771625§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 15, 3, 28]))§2022§0.59022194
10§3.1494498§3.067063§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([16, 15, 3, 28, 8]))§2189§0.60206485
15§3.1253345§3.060724§Chromosome(steinerPoints=[(0.72322845, 0.5965917)], includedObstacleCornersIndices=set([16, 15, 3]))§3041§0.6647307
17§3.116315§3.0485153§Chromosome(steinerPoints=[(0.41409504, 0.91810524), (0.72322845, 0.5965917)], includedObstacleCornersIndices=set([3, 8, 15, 16]))§3383§0.6912081
20§3.1140857§3.044818§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([3, 16, 15, 28, 8]))§3903§0.7344958
24§3.108989§3.0435638§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([15, 16, 3, 8]))§4593§0.7967561
28§3.0966837§3.0429163§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.41409504, 0.91810524)], includedObstacleCornersIndices=set([8, 16, 15]))§5279§0.8618427
29§3.0913205§3.0413744§Chromosome(steinerPoints=[(0.41409504, 0.91810524), (0.72322845, 0.5965917), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([8, 16, 15]))§5449§0.8786937
32§3.0850406§3.0377574§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([28, 16, 15, 3, 8]))§5964§0.92965704
36§3.0799274§3.035568§Chromosome(steinerPoints=[(0.41409504, 0.91810524), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.9598286, 0.7866192)], includedObstacleCornersIndices=set([16, 15, 28, 8]))§6653§1.0000571
45§3.079354§3.0347898§Chromosome(steinerPoints=[(0.72322845, 0.5965917), (0.9598286, 0.7866192), (0.41409504, 0.91810524), (0.40292615, 0.89031357), (0.72436714, 0.50475633)], includedObstacleCornersIndices=set([8, 15, 16, 28]))§8212§1.1658881
546§3.0581732§3.0346675§Chromosome(steinerPoints=[(0.9598286, 0.7866192), (0.72322845, 0.5965917), (0.72436714, 0.50475633), (0.40292615, 0.89031357)], includedObstacleCornersIndices=set([8, 28, 16, 15]))§114542§12.105414
