generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2.0559614§1.9347162§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 2]))§671§0.027013868
2§2.0199032§1.930113§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3, 2]))§839§0.029268237
7§1.9773809§1.9204764§Chromosome(steinerPoints=[(0.37266186, 0.18392487)], includedObstacleCornersIndices=set([3, 2]))§1683§0.039858803
10§1.9694682§1.915873§Chromosome(steinerPoints=[(0.37266186, 0.18392487), (0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3, 2]))§2189§0.04620682
511§1.9504976§1.915873§Chromosome(steinerPoints=[(0.37266186, 0.18392487), (0.8780974, 0.7732695)], includedObstacleCornersIndices=set([2, 3]))§106503§2.1429343
