generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§4000001000§16.14792§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24]))§673§1.0483227
9§220000030§16.120996§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 32, 24]))§2012§1.1565006
17§339999970§16.0846§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37]))§3366§1.2196048
23§360000000§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§4395§1.2616959
524§100000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§109485§5.096925
