generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9478555§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§674§0.03379495
4§1.9107509§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§1177§0.03911033
505§1.8979715§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§105200§1.3896656
