generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3420001000§16.14792§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24]))§675§0.64550406
3§180000030§16.108154§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24]))§1014§0.67344844
9§100000020§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2023§0.74257827
17§379999940§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24, 32]))§3388§0.81132925
518§160000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24, 32]))§108325§4.7854834
