generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2820000500§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§670§1.1302507
7§100000020§16.130295§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([12, 32, 37]))§1680§1.1866833
8§200000020§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§1847§1.193268
13§120000020§16.108154§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24]))§2693§1.2258835
15§359999970§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§3035§1.2390468
16§260000020§16.07891§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([12, 32, 37]))§3207§1.2461065
24§320000000§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 32, 37]))§4578§1.3052031
525§260000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 32, 37]))§109729§6.938697
