generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2720000300§16.135984§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24, 37]))§672§1.1545866
7§359999970§16.132933§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24, 32]))§1685§1.218396
10§200000020§16.0846§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37]))§2194§1.2348173
22§439999900§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§4243§1.3008332
523§120000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§109207§6.1740375
