generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§4480001000§16.14792§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24]))§677§1.0826579
5§260000030§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§1349§1.1091285
9§140000020§16.108154§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24]))§2029§1.1269559
11§280000030§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2368§1.1348007
19§220000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24, 32]))§3733§1.1737332
332§180000020§16.075829§Chromosome(steinerPoints=[(3.3951733, 2.5298703)], includedObstacleCornersIndices=set([24, 32, 12]))§65438§4.158841
336§200000020§16.070213§Chromosome(steinerPoints=[(3.3951733, 2.5298703)], includedObstacleCornersIndices=set([32, 24]))§66334§4.18253
837§200000020§16.070213§Chromosome(steinerPoints=[(3.3951733, 2.5298703)], includedObstacleCornersIndices=set([24, 32]))§182623§9.5475
