generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2480000000§10.144281§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§674§0.4715606
12§260000020§10.132978§Chromosome(steinerPoints=[(4.8327646, 3.608791)], includedObstacleCornersIndices=set([]))§2540§0.50614285
42§320000000§10.117576§Chromosome(steinerPoints=[(4.838368, 5.8131866)], includedObstacleCornersIndices=set([]))§7711§0.5454881
543§200000020§10.117576§Chromosome(steinerPoints=[(4.838368, 5.8131866)], includedObstacleCornersIndices=set([]))§113847§1.2419184
