generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9398487§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§670§0.011133897
2§1.7476913§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§839§0.012277187
503§1.1853027§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§104609§0.6311983
