generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3860001000§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§671§1.1398321
6§240000020§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§1511§1.1861863
10§200000020§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2190§1.2153693
23§180000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24, 32]))§4403§1.3344088
524§180000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§109719§7.0303016
