generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3580001000§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§676§1.7358727
9§240000020§16.108154§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24]))§2017§1.8520849
13§359999970§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2695§1.9187154
21§399999940§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24, 32]))§4052§1.992924
132§339999970§16.082281§Chromosome(steinerPoints=[(3.4429164, 2.4927692)], includedObstacleCornersIndices=set([32, 24]))§24033§3.5768008
633§260000020§16.082281§Chromosome(steinerPoints=[(3.4429164, 2.4927692)], includedObstacleCornersIndices=set([32, 24]))§134849§10.416574
