generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.1919322§2.7450469§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§675§0.21876518
2§3.0481527§2.7435582§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 7]))§841§0.22419003
5§2.8712413§2.6867397§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([5]))§1343§0.23867787
6§2.8418918§2.6724074§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([6, 5]))§1511§0.24308813
10§2.7909684§2.6469572§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7]))§2191§0.2608264
13§2.767126§2.6451435§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([6, 7]))§2698§0.2754426
15§2.7406027§2.6406617§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([]))§3035§0.2860485
18§2.7087517§2.6211214§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([6, 7]))§3543§0.30258477
22§2.6859133§2.6154199§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([7]))§4237§0.32503188
33§2.659011§2.6134179§Chromosome(steinerPoints=[(0.5046899, 0.8362386), (0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.9063096, 0.7126548), (0.54458016, 0.72617155)], includedObstacleCornersIndices=set([7]))§6130§0.3964105
43§2.6652021§2.6126862§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5046899, 0.8362386), (0.9063096, 0.7126548), (0.5644297, 0.7226435), (0.54458016, 0.72617155), (0.49693203, 0.8248326)], includedObstacleCornersIndices=set([7, 6]))§7883§0.4819936
544§2.6392083§2.6124642§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.49693203, 0.8248326), (0.54458016, 0.72617155), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([7]))§114195§5.0798345
