generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2440000500§16.856174§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 30, 28]))§673§0.97864133
2§620000060§16.14792§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24]))§840§0.9949609
6§120000024§16.135984§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24, 37]))§1510§1.0369182
12§339999970§16.108154§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24]))§2525§1.0830754
20§339999970§16.0846§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37]))§3890§1.1365216
23§519999840§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 24, 37]))§4405§1.1577476
524§180000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37, 24]))§109416§5.5040627
