generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2680001000§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§676§0.9185045
9§339999970§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2025§0.9576535
19§260000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§3721§1.0008857
520§160000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§108664§5.603839
