generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3340000800§16.12468§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 32]))§673§1.1250566
9§300000000§16.120996§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 32, 24]))§2023§1.199129
12§300000000§16.088285§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37]))§2530§1.2192596
13§359999970§16.085302§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 48, 32]))§2702§1.2256821
14§300000000§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§2873§1.2321666
23§220000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§4400§1.2936912
524§220000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§109498§5.7503114
