generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3220000300§16.151606§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§672§1.6817746
3§120000024§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§1008§1.7167648
10§240000020§16.12468§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32, 37]))§2188§1.7887673
12§300000000§16.109013§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 12, 48]))§2525§1.8066794
14§339999970§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2864§1.8233199
18§320000000§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§3545§1.86956
19§359999970§16.090214§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 12, 24]))§3716§1.8823626
20§439999900§16.07891§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37, 12]))§3890§1.893991
27§280000030§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§5080§1.9843988
35§220000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37, 24]))§6455§2.072188
536§220000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§111947§7.3191175
