generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1400000100§16.14792§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24]))§676§1.0404811
2§720000000§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§845§1.0511748
3§220000030§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§1014§1.0613196
17§240000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§3397§1.1623205
518§320000000§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24, 32]))§108076§5.847602
