generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1500000400§16.12468§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 32]))§674§0.95974976
3§260000030§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§1009§0.97607714
15§240000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§3045§1.0870937
516§120000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§107382§4.433258
