generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§540000000§16.142231§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([12, 32]))§670§1.0324227
2§240000030§16.13967§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37]))§839§1.0446217
5§280000030§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§1346§1.0703933
9§200000020§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§2021§1.1002135
12§240000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24, 32]))§2533§1.1203034
513§180000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§106984§4.7694297
