generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§4100001300§16.151606§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§675§0.8148561
8§220000020§16.13967§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37]))§1857§0.8947359
13§359999970§16.131472§Chromosome(steinerPoints=[(3.5512924, 2.2975202)], includedObstacleCornersIndices=set([]))§2699§0.93480414
16§379999970§16.118412§Chromosome(steinerPoints=[(3.5512924, 2.2975202)], includedObstacleCornersIndices=set([12, 24, 32]))§3205§0.9549927
17§339999970§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§3377§0.9624773
20§160000020§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37]))§3886§0.99295974
33§220000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37, 24]))§6126§1.1003914
534§200000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37, 24]))§111793§5.8424454
