generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§4480001000§16.151606§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§670§1.1024581
2§480000030§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§837§1.11148
9§359999970§16.131472§Chromosome(steinerPoints=[(3.5512924, 2.2975202)], includedObstacleCornersIndices=set([]))§2013§1.1627697
10§519999870§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2183§1.1732212
19§320000000§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§3707§1.2254455
513§240000020§16.069109§Chromosome(steinerPoints=[(3.382595, 2.5049877)], includedObstacleCornersIndices=set([24, 32]))§106987§6.111586
831§240000020§16.063091§Chromosome(steinerPoints=[(3.3138528, 2.5220423)], includedObstacleCornersIndices=set([24, 32]))§181058§9.021364
1332§120000020§16.063091§Chromosome(steinerPoints=[(3.3138528, 2.5220423)], includedObstacleCornersIndices=set([24, 32]))§297575§13.90148
