generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3400001000§16.151606§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§669§0.56177163
3§600000060§16.14792§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24]))§1004§0.5839889
6§160000030§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§1506§0.6581751
8§260000020§16.108154§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24]))§1842§0.6900906
18§260000020§16.085302§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37, 48]))§3545§0.7505492
24§360000000§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37]))§4564§0.7938234
31§320000000§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 32, 37]))§5778§0.8446554
532§180000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37, 24]))§111482§5.4963293
