generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§4080000500§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§671§0.7867338
3§180000030§16.12468§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32, 37]))§1006§0.8166825
10§240000020§16.112799§Chromosome(steinerPoints=[(3.5512924, 2.2975202)], includedObstacleCornersIndices=set([32, 24]))§2187§0.9353653
13§479999870§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2697§0.9560306
23§340000000§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§4390§1.0356445
239§260000020§16.075827§Chromosome(steinerPoints=[(3.3502128, 2.465247)], includedObstacleCornersIndices=set([24, 32]))§45218§2.9508834
250§339999970§16.072853§Chromosome(steinerPoints=[(3.3502128, 2.465247), (3.361712, 2.4800954)], includedObstacleCornersIndices=set([24, 32]))§47487§3.05979
751§120000020§16.071867§Chromosome(steinerPoints=[(3.361712, 2.4800954)], includedObstacleCornersIndices=set([24, 32]))§162417§8.547158
