generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.8409712§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§672§0.0120307
3§1.5776243§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§1006§0.014298535
504§1.1798409§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§104598§0.54914194
