generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2460000500§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§670§1.3156979
4§300000030§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§1174§1.3544608
16§300000000§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§3204§1.4493341
23§200000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§4396§1.5081494
282§320000000§16.07044§Chromosome(steinerPoints=[(3.3344223, 2.4788694)], includedObstacleCornersIndices=set([32, 24]))§54310§4.7982526
783§120000020§16.07044§Chromosome(steinerPoints=[(3.3344223, 2.4788694)], includedObstacleCornersIndices=set([32, 24]))§169965§9.708388
