generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2180000300§16.13967§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37]))§676§1.241579
8§339999970§16.088285§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37]))§1849§1.2848085
21§220000020§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§4051§1.3567097
26§459999900§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§4914§1.393761
527§120000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§110226§5.081166
