generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2360000300§16.151606§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§674§1.0112795
9§140000020§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§2018§1.0920634
10§180000020§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§2188§1.100904
12§339999970§16.108154§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24]))§2530§1.1192487
21§300000000§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§4069§1.2004182
27§220000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24, 32]))§5105§1.2394938
228§180000020§16.077465§Chromosome(steinerPoints=[(3.3804426, 2.4688838)], includedObstacleCornersIndices=set([24, 32]))§43079§2.9083834
729§160000020§16.077465§Chromosome(steinerPoints=[(3.3804426, 2.4688838)], includedObstacleCornersIndices=set([24, 32]))§157304§7.197784
