generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1340000300§16.13967§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37]))§676§0.6340061
4§160000030§16.12468§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32, 37]))§1182§0.6707536
6§220000030§16.120996§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 24, 32]))§1518§0.6899925
12§339999970§16.085302§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([48, 37, 32]))§2533§0.73291767
17§180000020§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§3386§0.76801676
19§300000000§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 24, 32]))§3730§0.78269345
520§220000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§108549§4.861043
