generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§5280001500§16.132933§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32, 24]))§672§1.1357094
8§120000020§16.12468§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32, 37]))§1849§1.208061
10§340000000§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2188§1.2233927
15§260000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§3040§1.2580802
516§240000020§16.093164§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32, 24]))§107639§4.1884265
