generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.7819626§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§675§0.013200611
2§1.6048468§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§846§0.014327582
503§1.1887543§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§104723§0.6424006
