generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2300000300§16.151606§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§673§1.0530834
2§220000030§16.13967§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37]))§841§1.0719397
4§180000030§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§1176§1.0886476
9§200000020§16.131472§Chromosome(steinerPoints=[(3.5512924, 2.2975202)], includedObstacleCornersIndices=set([]))§2017§1.12748
10§260000020§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§2185§1.1351643
14§240000020§16.09685§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([32]))§2864§1.1616671
15§280000030§16.088285§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37]))§3034§1.1695993
23§419999900§16.085575§Chromosome(steinerPoints=[(5.1082172, 7.9416246), (3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37]))§4397§1.2259266
24§320000000§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§4567§1.2346885
34§339999970§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§6286§1.3109218
535§120000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§112217§6.457286
