generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3100001000§16.964119§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§674§0.6645092
3§160000030§16.151606§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§1007§0.6945376
7§240000030§16.120996§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32, 37, 24]))§1679§0.7366456
14§140000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37, 24]))§2861§0.79780096
515§220000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32, 37, 24]))§107398§4.5464087
