generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3260000800§16.13967§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37]))§674§1.1957934
6§160000030§16.136686§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 48, 32]))§1521§1.2370318
9§140000020§16.12468§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 32]))§2025§1.2497275
12§419999900§16.088285§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37]))§2536§1.2618401
20§260000020§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§3905§1.3130362
25§419999900§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 24, 32]))§4766§1.3350325
526§280000030§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§109883§8.250118
