generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2860000800§16.136616§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([32]))§674§1.719431
11§280000030§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§2359§2.0592916
16§300000000§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§3210§2.119589
24§220000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§4577§2.1862354
525§60000012§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§109720§9.835645
