generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2360000500§16.135984§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24, 37]))§678§1.5201333
4§240000030§16.120996§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24, 37, 32]))§1182§1.5675895
10§220000020§16.0846§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37]))§2200§1.633607
21§260000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§4069§1.7905829
522§359999970§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§109083§7.448779
