generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3380000800§16.151606§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§670§0.8936498
2§280000030§16.14792§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([24]))§838§0.9082485
5§379999970§16.130295§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 12, 32]))§1338§0.937419
6§260000030§16.12468§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([37, 32]))§1506§0.94700557
9§320000000§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§2017§0.9702584
13§339999970§16.108154§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([24]))§2694§0.99687904
15§379999940§16.088285§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37]))§3037§1.0113677
16§200000020§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§3204§1.0193214
24§300000000§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§4574§1.0751835
525§240000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32, 24]))§109877§5.3900104
