generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9577985§1.9194444§Chromosome(steinerPoints=[(0.8780974, 0.7732695), (0.37266186, 0.18392487)], includedObstacleCornersIndices=set([2]))§1054§0.01890638
2§1.9424783§1.915873§Chromosome(steinerPoints=[(0.8780974, 0.7732695), (0.37266186, 0.18392487)], includedObstacleCornersIndices=set([3, 2]))§1340§0.021518512
503§1.9261894§1.915873§Chromosome(steinerPoints=[(0.37266186, 0.18392487), (0.8780974, 0.7732695)], includedObstacleCornersIndices=set([2, 3]))§139878§2.0378516
