generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1640000300§10.132978§Chromosome(steinerPoints=[(4.8327646, 3.608791)], includedObstacleCornersIndices=set([]))§1035§0.5283292
231§40000012§10.131577§Chromosome(steinerPoints=[(3.0783913, 2.5511098)], includedObstacleCornersIndices=set([]))§64567§0.9052322
236§80000020§10.12026§Chromosome(steinerPoints=[(3.0783913, 2.5511098), (5.167307, 3.6086934)], includedObstacleCornersIndices=set([]))§65950§0.9129795
315§80000020§10.114622§Chromosome(steinerPoints=[(3.0783913, 2.5511098), (4.9046803, 6.182701)], includedObstacleCornersIndices=set([]))§87777§1.0539857
316§80000020§10.105746§Chromosome(steinerPoints=[(3.0783913, 2.5511098), (4.9046803, 6.182701), (4.8809886, 3.5701575)], includedObstacleCornersIndices=set([]))§88058§1.0558981
365§160000020§10.099507§Chromosome(steinerPoints=[(3.0783913, 2.5511098), (4.8809886, 3.5701575), (4.8816833, 5.9405303)], includedObstacleCornersIndices=set([]))§101640§1.1643472
618§60000012§10.097904§Chromosome(steinerPoints=[(4.8809886, 3.5701575), (4.8816833, 5.9405303), (3.302864, 2.6017141)], includedObstacleCornersIndices=set([]))§171596§1.7725084
705§100000020§10.0967245§Chromosome(steinerPoints=[(4.8809886, 3.5701575), (4.8816833, 5.9405303), (3.0783913, 2.5511098), (3.4927638, 2.7501438)], includedObstacleCornersIndices=set([]))§195690§2.0142395
766§20000010§10.095636§Chromosome(steinerPoints=[(4.8809886, 3.5701575), (3.4927638, 2.7501438), (3.0783913, 2.5511098), (4.862455, 6.025018)], includedObstacleCornersIndices=set([]))§212533§2.190183
852§40000012§10.093723§Chromosome(steinerPoints=[(4.8809886, 3.5701575), (4.862455, 6.025018), (3.4927638, 2.7501438), (3.1304579, 2.581825)], includedObstacleCornersIndices=set([]))§236310§2.4406219
863§60000012§10.091725§Chromosome(steinerPoints=[(4.862455, 6.025018), (4.8809886, 3.5701575), (3.3075092, 2.6811147)], includedObstacleCornersIndices=set([]))§239362§2.472965
943§20000010§10.090391§Chromosome(steinerPoints=[(3.3075092, 2.6811147), (4.863446, 3.5802765), (4.8060164, 5.7974496), (4.8379326, 3.5945177)], includedObstacleCornersIndices=set([]))§261488§2.670145
999§160000020§10.089352§Chromosome(steinerPoints=[(3.2859607, 2.6640542), (4.8379326, 3.5945177), (4.822374, 5.815855)], includedObstacleCornersIndices=set([]))§277018§2.8030658
1027§80000020§10.088301§Chromosome(steinerPoints=[(4.8379326, 3.5945177), (4.8037057, 5.866405), (3.2623956, 2.6468637)], includedObstacleCornersIndices=set([]))§284746§2.8698094
1043§180000020§10.087036§Chromosome(steinerPoints=[(4.8379326, 3.5945177), (3.2623956, 2.6468637), (4.822055, 5.9043665)], includedObstacleCornersIndices=set([]))§289156§2.9076476
1090§120000020§10.085485§Chromosome(steinerPoints=[(3.2623956, 2.6468637), (4.8379326, 3.5945177), (4.820044, 5.9765716)], includedObstacleCornersIndices=set([]))§302147§3.01939
1591§40000012§10.085167§Chromosome(steinerPoints=[(4.823308, 5.974755), (4.854008, 3.5862281), (3.2468543, 2.6341543)], includedObstacleCornersIndices=set([]))§440587§4.1941767
