generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2400000300§10.144281§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§1027§0.46140704
2§340000000§10.132978§Chromosome(steinerPoints=[(4.8327646, 3.608791)], includedObstacleCornersIndices=set([]))§1305§0.47617155
75§40000012§10.125406§Chromosome(steinerPoints=[(4.878115, 5.448457)], includedObstacleCornersIndices=set([]))§21483§0.60112524
515§100000020§10.122067§Chromosome(steinerPoints=[(5.082918, 5.7984858)], includedObstacleCornersIndices=set([]))§143240§1.1793203
721§180000020§10.118288§Chromosome(steinerPoints=[(5.163249, 6.1090183), (5.2345023, 3.6445837)], includedObstacleCornersIndices=set([]))§200230§1.4463296
738§100000020§10.113353§Chromosome(steinerPoints=[(5.163249, 6.1090183), (6.110456, 2.9055934)], includedObstacleCornersIndices=set([]))§204969§1.4700549
741§120000020§10.106897§Chromosome(steinerPoints=[(5.163249, 6.1090183), (6.110456, 2.9055934), (5.0818133, 3.5438342)], includedObstacleCornersIndices=set([]))§205810§1.4747897
808§160000020§10.098753§Chromosome(steinerPoints=[(5.0818133, 3.5438342), (5.163249, 6.1090183), (6.532016, 2.7516737)], includedObstacleCornersIndices=set([]))§224352§1.602984
809§80000020§10.097517§Chromosome(steinerPoints=[(5.0818133, 3.5438342), (5.163249, 6.1090183), (6.718759, 2.602496)], includedObstacleCornersIndices=set([]))§224632§1.6051159
812§60000012§10.095945§Chromosome(steinerPoints=[(5.0818133, 3.5438342), (5.163249, 6.1090183), (6.718759, 2.602496), (5.1185718, 3.5642052)], includedObstacleCornersIndices=set([]))§225453§1.6114689
815§80000020§10.094783§Chromosome(steinerPoints=[(5.0818133, 3.5438342), (5.163249, 6.1090183), (6.830143, 2.5818563), (5.140837, 3.5772185)], includedObstacleCornersIndices=set([]))§226289§1.617885
844§140000020§10.091906§Chromosome(steinerPoints=[(6.532016, 2.7516737), (6.830143, 2.5818563), (5.140837, 3.5772185), (5.21366, 5.960398)], includedObstacleCornersIndices=set([]))§234287§1.6860025
920§80000010§10.090372§Chromosome(steinerPoints=[(6.532016, 2.7516737), (5.158981, 3.5871434), (5.21366, 5.960398), (6.7050586, 2.677022)], includedObstacleCornersIndices=set([]))§255317§1.8999724
924§60000012§10.08869§Chromosome(steinerPoints=[(6.7050586, 2.677022), (5.158981, 3.5871434), (5.21366, 5.960398)], includedObstacleCornersIndices=set([]))§256433§1.9109353
950§80000020§10.087205§Chromosome(steinerPoints=[(5.174032, 3.5955005), (6.7050586, 2.677022), (5.1873894, 5.9371214)], includedObstacleCornersIndices=set([]))§263611§1.9765143
1030§100000020§10.086118§Chromosome(steinerPoints=[(6.7373877, 2.6659696), (5.174032, 3.5955005), (5.176973, 5.9475336)], includedObstacleCornersIndices=set([]))§285741§2.1413367
1531§60000012§10.085167§Chromosome(steinerPoints=[(5.1868362, 5.993633), (5.158941, 3.5834618), (6.750033, 2.6380246)], includedObstacleCornersIndices=set([]))§424322§3.1466012
