generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§0.85863674§0.6291943§Chromosome(steinerPoints=[(0.29340008, 0.71921235)], includedObstacleCornersIndices=set([]))§1048§0.009158335
443§0.66743994§0.6287462§Chromosome(steinerPoints=[(0.30472353, 0.7348526)], includedObstacleCornersIndices=set([]))§123375§0.5259684
944§0.6568247§0.6287462§Chromosome(steinerPoints=[(0.30472353, 0.7348526)], includedObstacleCornersIndices=set([]))§262173§1.1125228
