generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9587642§1.9194444§Chromosome(steinerPoints=[(0.8780974, 0.7732695), (0.37266186, 0.18392487)], includedObstacleCornersIndices=set([2]))§1054§0.025777284
3§1.9388165§1.915873§Chromosome(steinerPoints=[(0.37266186, 0.18392487), (0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3, 2]))§1624§0.031210348
504§1.9277534§1.915873§Chromosome(steinerPoints=[(0.8780974, 0.7732695), (0.37266186, 0.18392487)], includedObstacleCornersIndices=set([2, 3]))§140329§2.0513637
