generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§0.80610967§0.6291943§Chromosome(steinerPoints=[(0.29340008, 0.71921235)], includedObstacleCornersIndices=set([]))§1043§0.012065368
62§0.6555611§0.62878525§Chromosome(steinerPoints=[(0.30569577, 0.73489296)], includedObstacleCornersIndices=set([]))§17957§0.07411494
563§0.6859673§0.62878525§Chromosome(steinerPoints=[(0.30569577, 0.73489296)], includedObstacleCornersIndices=set([]))§156694§0.56769353
