generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3500000800§16.690199§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([30, 18]))§1035§0.6606097
2§680000000§16.366388§Chromosome(steinerPoints=[(3.5355747, 5.6266804)], includedObstacleCornersIndices=set([30]))§1310§0.6836458
3§100000030§16.328651§Chromosome(steinerPoints=[(3.5355747, 5.6266804)], includedObstacleCornersIndices=set([]))§1587§0.6987069
5§120000024§16.111837§Chromosome(steinerPoints=[(3.134449, 2.5823407)], includedObstacleCornersIndices=set([]))§2127§0.719115
9§140000020§16.088285§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37]))§3241§0.7443403
19§80000020§16.082392§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([32]))§6018§0.79225695
24§80000020§16.073296§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([37, 32]))§7401§0.814205
30§120000020§16.070587§Chromosome(steinerPoints=[(3.2267678, 2.530331), (5.1082172, 7.9416246)], includedObstacleCornersIndices=set([37, 32, 24]))§9080§0.84278315
531§160000020§16.069613§Chromosome(steinerPoints=[(3.2267678, 2.530331)], includedObstacleCornersIndices=set([24, 37, 32]))§147485§3.8871741
