generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1579999400§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5]))§674§0.043891255
4§639999800§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 4, 5]))§1178§0.05102265
505§1600000000§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§105199§0.89597476
