function evaluations§best§chromosome§runtime in seconds
2§2.3556347§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([2]))§0.000112478
3§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 0]))§0.000232567
119503§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 0]))§0.6476199
