function evaluations§best§chromosome§runtime in seconds
2§2.3999999§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000040378
4§2.3556347§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§0.000082966
6§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 2]))§0.00013244
139198§2.2970562§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 2]))§0.9814559
