function evaluations§best§chromosome§runtime in seconds
2§2.539212§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000540109
20645§2.5202262§Chromosome(steinerPoints=[(0.5405941, 0.73501897), (0.7073191, 0.29881692), (0.91763675, 0.7098585), (0.3901282, 0.42140126), (0.5391203, 0.26973045), (0.7221791, 0.67520714), (0.8118582, 0.7396969), (0.90075934, 0.6995949)], includedObstacleCornersIndices=set([9, 26, 6, 5]))§7.0567517
20646§2.5128522§Chromosome(steinerPoints=[(0.5405941, 0.73501897), (0.7073191, 0.29881692), (0.91763675, 0.7098585), (0.3901282, 0.42140126), (0.5391203, 0.26973045), (0.7221791, 0.67520714), (0.8118582, 0.7396969)], includedObstacleCornersIndices=set([9, 26, 6, 5]))§7.056942
20647§2.5103123§Chromosome(steinerPoints=[(0.5405941, 0.73501897), (0.7073191, 0.29881692), (0.91763675, 0.7098585), (0.3901282, 0.42140126), (0.5391203, 0.26973045), (0.7221791, 0.67520714), (0.8118582, 0.7396969)], includedObstacleCornersIndices=set([9, 26, 6, 5, 12]))§7.057106
20651§2.4960291§Chromosome(steinerPoints=[(0.5405941, 0.73501897), (0.7073191, 0.29881692), (0.91763675, 0.7098585), (0.3901282, 0.42140126), (0.5391203, 0.26973045), (0.7221791, 0.67520714), (0.8118582, 0.7396969)], includedObstacleCornersIndices=set([9, 26, 12, 5]))§7.0574694
22546§2.4861631§Chromosome(steinerPoints=[(0.7514006, 0.5628763), (0.57503825, 0.1402432), (0.84094757, 0.76624703)], includedObstacleCornersIndices=set([4, 22, 23, 7]))§7.2472196
22584§2.458876§Chromosome(steinerPoints=[(0.60402143, 0.6902514), (0.57503825, 0.1402432), (0.84094757, 0.76624703), (0.81781507, 0.78811944)], includedObstacleCornersIndices=set([4, 22, 23, 7, 29, 21]))§7.2495575
23160§2.4343114§Chromosome(steinerPoints=[(0.5539268, 0.6998444), (0.9072753, 0.72283435), (0.5642899, 0.13678181), (0.2685755, 0.3770817), (0.79755896, 0.21368617), (0.7195337, 0.55348325), (0.5598725, 0.62869316)], includedObstacleCornersIndices=set([22, 23, 12, 32]))§7.2932386
23177§2.4304235§Chromosome(steinerPoints=[(0.5539268, 0.6998444), (0.9072753, 0.72283435), (0.5642899, 0.13678181), (0.2685755, 0.3770817), (0.79755896, 0.21368617), (0.7195337, 0.55348325), (0.5598725, 0.62869316)], includedObstacleCornersIndices=set([22, 23, 12]))§7.294366
23192§2.4296794§Chromosome(steinerPoints=[(0.5598725, 0.62869316), (0.9072753, 0.72283435), (0.5642899, 0.13678181), (0.2685755, 0.3770817), (0.79755896, 0.21368617), (0.7195337, 0.55348325)], includedObstacleCornersIndices=set([22, 23, 12]))§7.295393
28413§2.4275322§Chromosome(steinerPoints=[(0.72919166, 0.5627632), (0.562935, 0.6217224), (0.20349526, 0.3282413), (0.5588118, 0.14796829), (0.8913335, 0.71782297), (0.6954146, 0.20416331), (0.725913, 0.5830919)], includedObstacleCornersIndices=set([20, 7, 6]))§7.594317
28529§2.4272814§Chromosome(steinerPoints=[(0.725913, 0.5830919), (0.562935, 0.6217224), (0.6954146, 0.20416331), (0.5588118, 0.14796829), (0.8913335, 0.71782297)], includedObstacleCornersIndices=set([20, 7, 6, 12]))§7.6008153
29214§2.42245§Chromosome(steinerPoints=[(0.7231019, 0.56569767), (0.5525243, 0.6264752), (0.8913335, 0.71782297), (0.5723262, 0.13573202), (0.7788089, 0.20505539)], includedObstacleCornersIndices=set([23, 7]))§7.631268
31138§2.4197059§Chromosome(steinerPoints=[(0.7269302, 0.5595652), (0.5506379, 0.6199197), (0.5723262, 0.13573202), (0.89218605, 0.7177801), (0.7788089, 0.20505539)], includedObstacleCornersIndices=set([7, 12, 23]))§7.7182517
31188§2.416472§Chromosome(steinerPoints=[(0.7269302, 0.5595652), (0.5506379, 0.6199197), (0.5723262, 0.13573202), (0.89218605, 0.7177801), (0.7788089, 0.20505539), (0.79712814, 0.21472025)], includedObstacleCornersIndices=set([7, 12, 23]))§7.720805
31195§2.4139261§Chromosome(steinerPoints=[(0.7269302, 0.5595652), (0.5506379, 0.6199197), (0.5723262, 0.13573202), (0.89218605, 0.7177801), (0.79712814, 0.21472025)], includedObstacleCornersIndices=set([7, 12, 23, 22]))§7.7213902
170387§2.4139261§Chromosome(steinerPoints=[(0.7269302, 0.5595652), (0.5506379, 0.6199197), (0.5723262, 0.13573202), (0.89218605, 0.7177801), (0.79712814, 0.21472025)], includedObstacleCornersIndices=set([7, 12, 23, 22]))§14.704829
