function evaluations§best§chromosome§runtime in seconds
2§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000044206
1541§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.019778848
140733§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§0.75285876
