generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§879999700§15.824736§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([2, 4]))§669§0.035798177
8§959999550§15.753481§Chromosome(steinerPoints=[(6.9449005, 2.0935225)], includedObstacleCornersIndices=set([4, 3, 2]))§1845§0.051596876
10§899999600§15.692424§Chromosome(steinerPoints=[(5.749057, 6.9888854)], includedObstacleCornersIndices=set([3, 4, 2]))§2188§0.055831123
13§719999740§15.607243§Chromosome(steinerPoints=[(6.9449005, 2.0935225), (5.749057, 6.9888854)], includedObstacleCornersIndices=set([4, 2]))§2695§0.06195006
514§359999970§15.607243§Chromosome(steinerPoints=[(5.749057, 6.9888854), (6.9449005, 2.0935225)], includedObstacleCornersIndices=set([2, 4]))§107231§1.6634022
