generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1879999900§2.5397143§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 6, 3, 2]))§672§0.036898665
3§539999800§2.5390294§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 7, 2, 6]))§1007§0.043212377
4§659999740§2.5268312§Chromosome(steinerPoints=[(0.92108715, 0.8386997)], includedObstacleCornersIndices=set([1, 6, 2, 7]))§1176§0.04611136
505§559999800§2.5268312§Chromosome(steinerPoints=[(0.92108715, 0.8386997)], includedObstacleCornersIndices=set([1, 2, 6, 7]))§105017§1.6846876
