generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1999999700§2.763343§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 9, 2, 6]))§673§0.089427724
6§340000000§2.7540278§Chromosome(steinerPoints=[(0.71876144, 0.2802855)], includedObstacleCornersIndices=set([9, 2]))§1513§0.12331142
14§379999970§2.7506132§Chromosome(steinerPoints=[(0.71876144, 0.2802855)], includedObstacleCornersIndices=set([6, 9, 2, 8]))§2862§0.17407238
18§439999940§2.7463336§Chromosome(steinerPoints=[(0.71876144, 0.2802855), (0.81445247, 0.12459756)], includedObstacleCornersIndices=set([8, 9, 2, 6]))§3547§0.20226358
21§579999900§2.7420807§Chromosome(steinerPoints=[(0.71876144, 0.2802855), (0.81445247, 0.12459756), (0.0763326, 0.0982514)], includedObstacleCornersIndices=set([9, 2]))§4056§0.22485174
522§439999940§2.7420807§Chromosome(steinerPoints=[(0.71876144, 0.2802855), (0.81445247, 0.12459756), (0.0763326, 0.0982514)], includedObstacleCornersIndices=set([2, 9]))§109000§5.3786025
