generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§120000024§14.924971§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0]))§675§0.03585686
2§40000016§14.67829§Chromosome(steinerPoints=[(5.0539637, 6.9060874)], includedObstacleCornersIndices=set([0]))§841§0.03760605
6§16.221067§14.592683§Chromosome(steinerPoints=[(5.0539637, 6.9060874), (3.534823, 2.7972777)], includedObstacleCornersIndices=set([0]))§1510§0.044107445
507§40000012§14.592683§Chromosome(steinerPoints=[(3.534823, 2.7972777), (5.0539637, 6.9060874)], includedObstacleCornersIndices=set([0]))§105708§1.4076306
