generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1599999600§6.387147§Chromosome(steinerPoints=[(0.7713424, 2.1034749)], includedObstacleCornersIndices=set([0, 7, 6]))§671§0.043979943
2§959999550§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 0, 5, 7]))§840§0.046488915
4§659999740§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1, 5]))§1180§0.051129732
505§679999740§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§104944§1.2197263
