generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2300001300§3.656851§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([23, 0, 2, 28, 79, 112, 107]))§675§3.9815211
4§4.163326§3.5352786§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([61, 55, 7, 34, 35, 30, 91, 78, 82, 90]))§1182§4.063182
7§3.922734§3.4463136§Chromosome(steinerPoints=[(0.7147114, 0.8825661)], includedObstacleCornersIndices=set([7, 23, 0, 2, 112, 28, 79, 91]))§1688§4.119094
12§20000004§3.442274§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 34, 35, 30, 91, 78, 82, 90, 8, 0]))§2533§4.211186
14§3.657258§3.4291701§Chromosome(steinerPoints=[(0.7147114, 0.8825661)], includedObstacleCornersIndices=set([7, 28, 79, 91, 49]))§2871§4.2499824
16§20000004§3.4152513§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([28, 79, 91, 0, 25, 24, 7, 98, 49, 6, 100]))§3211§4.2899156
17§20000004§3.4096441§Chromosome(steinerPoints=[(0.7147114, 0.8825661)], includedObstacleCornersIndices=set([28, 79, 91, 49, 7, 6, 100, 8, 96]))§3381§4.3102064
18§3.569553§3.2849407§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([25, 4, 89, 104, 30, 92, 28, 8, 91, 109]))§3552§4.3309546
21§3.5045507§3.259376§Chromosome(steinerPoints=[(0.18484603, 0.11659408)], includedObstacleCornersIndices=set([89, 104, 30, 92, 28, 8, 91, 109]))§4061§4.392565
22§3.4953237§3.2041752§Chromosome(steinerPoints=[(0.7147114, 0.8825661)], includedObstacleCornersIndices=set([6, 28, 79, 91, 89]))§4232§4.413083
25§3.4322565§3.1657126§Chromosome(steinerPoints=[(0.18484603, 0.11659408), (0.7147114, 0.8825661), (0.22198352, 0.85126865)], includedObstacleCornersIndices=set([89, 49, 100, 7, 6, 8, 28, 79, 91]))§4747§4.4758143
28§20000004§3.161339§Chromosome(steinerPoints=[(0.21462509, 0.87361586), (0.7147114, 0.8825661)], includedObstacleCornersIndices=set([25, 4, 104, 6, 89, 28, 79, 91]))§5260§4.5379043
30§20000004§3.1559324§Chromosome(steinerPoints=[(0.21462509, 0.87361586), (0.7147114, 0.8825661), (0.7826873, 0.75606656)], includedObstacleCornersIndices=set([104, 6, 89, 25, 28, 79, 91]))§5602§4.5778027
33§20000004§3.1335247§Chromosome(steinerPoints=[(0.21462509, 0.87361586), (0.7147114, 0.8825661), (0.7826873, 0.75606656), (0.18484603, 0.11659408)], includedObstacleCornersIndices=set([104, 6, 89, 28, 79, 91]))§6124§4.638239
35§20000004§3.131284§Chromosome(steinerPoints=[(0.7147114, 0.8825661), (0.21019007, 0.8828098)], includedObstacleCornersIndices=set([28, 91, 7, 8, 89]))§6477§4.679759
37§20000004§3.118851§Chromosome(steinerPoints=[(0.21462509, 0.87361586), (0.7147114, 0.8825661)], includedObstacleCornersIndices=set([28, 91, 89, 25, 6]))§6828§4.72209
38§3.2405078§3.1171825§Chromosome(steinerPoints=[(0.21462509, 0.87361586), (0.18484603, 0.11659408), (0.7147114, 0.8825661), (0.5055028, 0.07036092)], includedObstacleCornersIndices=set([104, 6, 89, 28, 91, 92]))§7010§4.7450147
41§40000004§3.115799§Chromosome(steinerPoints=[(0.18484603, 0.11659408), (0.22198352, 0.85126865), (0.7147114, 0.8825661)], includedObstacleCornersIndices=set([6, 8, 7, 89, 49, 28, 91]))§7537§4.8089175
43§40000004§3.1041012§Chromosome(steinerPoints=[(0.7147114, 0.8825661), (0.21019007, 0.8828098), (0.569265, 0.11244954), (0.18484603, 0.11659408)], includedObstacleCornersIndices=set([28, 91, 89]))§7892§4.851359
45§3.199284§3.09545§Chromosome(steinerPoints=[(0.036538895, 0.10066555), (0.21019007, 0.8828098), (0.18484603, 0.11659408), (0.7147114, 0.8825661), (0.5150327, 0.049893692)], includedObstacleCornersIndices=set([89, 28, 91, 6]))§8236§4.891799
52§80000010§3.088237§Chromosome(steinerPoints=[(0.7147114, 0.8825661), (0.21462509, 0.87361586), (0.18484603, 0.11659408), (0.08939304, 0.13448285)], includedObstacleCornersIndices=set([28, 91, 89, 6]))§9454§5.033563
54§3.1639993§3.0877001§Chromosome(steinerPoints=[(0.7147114, 0.8825661), (0.5150327, 0.049893692), (0.21462509, 0.87361586), (0.18484603, 0.11659408), (0.08939304, 0.13448285)], includedObstacleCornersIndices=set([28, 91, 6, 89]))§9811§5.075291
55§20000002§3.0872514§Chromosome(steinerPoints=[(0.7147114, 0.8825661), (0.5150327, 0.049893692), (0.21019007, 0.8828098), (0.18484603, 0.11659408), (0.08939304, 0.13448285)], includedObstacleCornersIndices=set([28, 91, 6, 89]))§9985§5.095186
