generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§699999900§15.824736§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 2]))§674§0.038208265
10§759999700§15.746517§Chromosome(steinerPoints=[(6.9449005, 2.0935225)], includedObstacleCornersIndices=set([4, 2]))§2183§0.05821796
12§899999600§15.685459§Chromosome(steinerPoints=[(5.749057, 6.9888854)], includedObstacleCornersIndices=set([4, 2]))§2523§0.062172208
20§579999800§15.607243§Chromosome(steinerPoints=[(6.9449005, 2.0935225), (5.749057, 6.9888854)], includedObstacleCornersIndices=set([2, 4]))§3892§0.076862335
521§360000030§15.607243§Chromosome(steinerPoints=[(5.749057, 6.9888854), (6.9449005, 2.0935225)], includedObstacleCornersIndices=set([2, 4]))§108956§1.6758666
