generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2139999900§1.8252574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 0, 5, 6, 8]))§676§0.03517876
3§459999970§1.8215339§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 8, 7]))§1013§0.041072454
4§579999800§1.787618§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 0, 6, 5, 1]))§1179§0.04377493
5§739999740§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7, 0, 5]))§1345§0.04631563
11§739999740§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([7, 0, 5, 6]))§2358§0.0600768
512§679999740§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([0, 5, 7, 6]))§106815§1.5077658
