generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2160000000§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5]))§675§0.040870927
2§1099999500§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§842§0.043171328
4§679999740§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§1178§0.046800464
505§839999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§105083§1.200963
