generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§120000000§0.6667087§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0]))§674§0.009052234
502§0.7391889§0.6667087§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0]))§104335§0.37367564
