generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9486821§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§673§0.022731258
2§1.9230337§1.8862721§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§843§0.0244492
3§1.9154212§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§1012§0.02620182
504§1.8984258§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§104965§1.2740467
