generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9786134§1.9286945§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§675§0.022023829
2§1.9527838§1.9276624§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§843§0.023808142
4§1.9442364§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§1180§0.027251258
505§1.9406933§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§105098§1.3450472
