generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.0478232§0.6667087§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0]))§670§0.004668233
2§0.94272524§0.652334§Chromosome(steinerPoints=[(0.28713843, 0.713094), (0.244, 0.546), (0.164, 0.834), (0.2627387, 0.54216087), (0.26273876, 0.5421608)], includedObstacleCornersIndices=set([0]))§837§0.005378798
3§0.88600093§0.6291943§Chromosome(steinerPoints=[(0.29340008, 0.71921235)], includedObstacleCornersIndices=set([]))§1006§0.00613488
148§0.74023336§0.6287844§Chromosome(steinerPoints=[(0.30539298, 0.73069704)], includedObstacleCornersIndices=set([]))§27136§0.14205353
649§0.6927322§0.6287844§Chromosome(steinerPoints=[(0.30539298, 0.73069704)], includedObstacleCornersIndices=set([]))§138724§0.6321271
